rseed,MAE,ln_MAE,log10_MAE
507,0.0915529458334538,-1.038327677155503,-1.038327677155503
508,0.062479363391163,-1.2042634041805886,-1.2042634041805889
509,0.0172172021144572,-1.7640374222771051,-1.7640374222771058
510,0.0897497229124218,-1.0469668835606956,-1.046966883560696
511,0.0130591003247817,-1.8840867417011804,-1.884086741701182
512,0.0585800244112495,-1.2322504516768036,-1.232250451676804
513,0.0727357526626138,-1.138252062767769,-1.1382520627677695
514,0.0160272191659974,-1.795141824222811,-1.7951418242228114
515,0.0677619702921153,-1.1690139746585622,-1.1690139746585622
516,0.0446165213202162,-1.3505042939878398,-1.3505042939878402
517,0.0845746917770172,-1.0727595762746494,-1.0727595762746498
518,0.0665487635361568,-1.1768600092263115,-1.1768600092263117
